TSB Ergonomic Report
  Job Title: 
  Job Number: 
  Location: 
  Analyst: 
  Date: 
  Comments: 
  
Time (sec),,,L4/L5 Forces (N),,,L4/L5 Moments (Nm),,,L4/L5 Muscle Tensions (N),,,,,,,,,,
Time,Task,Action,COMPRESSION,AP SHEAR,LATERAL SHEAR,L4/L5 X,L4/L5 Y,L4/L5 Z,ERECTOR SPINE RIGHT,ERECTOR SPINE LEFT,LATISSIMUS DORSI RIGHT,LATISSIMUS DORSI LEFT,EXTERNAL OBLIQUE RIGHT,EXTERNAL OBLIQUE LEFT,INTERNAL OBLIQUE RIGHT,INTERNAL OBLIQUE LEFT,RECTUS ABDOMINUS RIGHT,RECTUS ABDOMINUS LEFT,
0.000, Get_e1515ls_yel,Reach,487.537,15.704,-0.190,4.769,0.000,-0.028,39.574,40.755,1.847,2.031,0.056,0.068,0.032,0.038,0.047,0.061,
0.033, ,,487.537,15.704,-0.190,4.769,0.000,-0.028,39.574,40.755,1.847,2.031,0.056,0.068,0.032,0.038,0.047,0.061,
0.067, ,,488.635,15.892,-0.196,4.839,0.000,-0.035,40.103,41.299,1.872,2.058,0.056,0.070,0.033,0.038,0.047,0.062,
0.100, ,,491.856,16.444,-0.212,5.044,0.000,-0.057,41.655,42.897,1.945,2.138,0.058,0.073,0.034,0.039,0.049,0.064,
0.133, ,,497.092,17.341,-0.239,5.376,0.000,-0.095,44.178,45.495,2.062,2.267,0.060,0.079,0.037,0.041,0.052,0.068,
0.167, ,,504.368,18.588,-0.275,5.838,0.001,-0.149,47.683,49.105,2.226,2.447,0.064,0.087,0.040,0.044,0.056,0.073,
0.200, ,,513.445,20.143,-0.321,6.411,0.001,-0.240,52.056,53.609,2.430,2.672,0.067,0.099,0.045,0.047,0.061,0.080,
0.233, ,,524.056,21.959,-0.374,7.078,0.002,-0.357,57.168,58.873,2.669,2.934,0.071,0.114,0.051,0.050,0.067,0.088,
0.267, ,,536.189,24.035,-0.436,7.835,0.003,-0.512,63.012,64.891,2.942,3.234,0.076,0.132,0.058,0.054,0.074,0.097,
0.300, ,,549.686,26.341,-0.504,8.670,0.004,-0.711,69.512,71.585,3.245,3.567,0.080,0.155,0.066,0.058,0.082,0.107,
0.333, ,,564.369,28.848,-0.579,9.568,0.006,-0.961,76.582,78.866,3.575,3.930,0.085,0.185,0.076,0.062,0.090,0.118,
0.367, ,,580.040,31.517,-0.659,10.510,0.009,-1.265,84.125,86.634,3.927,4.317,0.090,0.222,0.088,0.066,0.099,0.129,
0.400, ,,596.478,34.310,-0.744,11.479,0.011,-1.626,92.034,94.778,4.296,4.723,0.094,0.270,0.102,0.071,0.108,0.141,
0.433, ,,613.448,37.180,-0.833,12.454,0.015,-2.046,100.193,103.181,4.677,5.142,0.098,0.333,0.119,0.074,0.118,0.154,
0.467, ,,630.706,40.081,-0.924,13.414,0.019,-2.522,108.481,111.716,5.064,5.567,0.101,0.419,0.138,0.078,0.128,0.167,
0.500, ,,653.566,43.367,-0.979,14.338,0.024,-3.049,118.911,122.457,5.551,6.103,0.126,1.599,0.544,0.103,0.140,0.183,
0.533, ,,688.525,41.558,-0.944,15.208,0.030,-3.622,131.065,134.974,6.118,6.726,0.151,12.931,1.693,0.124,0.154,0.201,
0.567, ,,710.391,41.886,0.429,16.004,0.036,-4.229,143.412,139.258,7.146,6.500,0.182,18.210,2.708,0.114,0.214,0.164,
0.600, ,,737.747,46.162,1.191,16.724,0.044,-4.863,153.015,148.581,7.623,6.934,0.202,23.213,8.514,0.119,0.228,0.175,
0.633, ,,773.116,49.848,3.026,17.348,0.051,-5.507,160.335,155.689,7.988,7.265,0.207,37.018,22.390,0.119,0.238,0.183,
0.667, ,,785.252,69.705,4.838,17.870,0.060,-6.145,166.716,161.887,8.307,7.556,0.201,23.863,36.145,0.128,0.248,0.191,
0.700, ,,817.894,94.334,9.158,18.278,0.068,-6.770,171.765,166.790,8.559,7.786,0.197,23.428,68.626,0.129,0.256,0.196,
0.733, ,,805.290,64.979,3.741,18.511,0.073,-7.138,177.530,172.388,8.846,8.047,0.210,28.634,28.327,0.143,0.264,0.203,
0.767, ,,807.812,70.378,2.818,18.640,0.074,-7.267,172.670,177.819,8.061,8.861,0.173,26.261,33.774,0.153,0.203,0.265,
0.800, ,,846.957,100.387,8.679,18.762,0.075,-7.395,175.665,180.904,8.201,9.015,0.176,29.000,77.553,0.164,0.207,0.270,
0.833, ,,820.852,84.111,5.089,18.876,0.076,-7.523,174.066,179.258,8.126,8.933,0.172,24.023,50.731,0.145,0.205,0.267,
0.867, ,,818.634,77.256,3.765,18.982,0.076,-7.649,175.888,181.134,8.211,9.027,0.172,25.147,40.939,0.150,0.207,0.270,
0.900, ,,802.978,64.722,1.105,19.079,0.077,-7.772,175.874,181.119,8.210,9.026,0.169,23.004,21.122,0.144,0.207,0.270,
