TSB Ergonomic Report
  Job Title: 
  Job Number: 
  Location: 
  Analyst: 
  Date: 
  Comments: 
  
Time (sec),,, Joint Angles (deg),,,,,,,,,,,,,,,,,,,,,,,Joint Torques (Nm),,,,,,,,,,,,,,,,,,,,,,,Mean Strengths (Nm),,,,,,,,,,,,,,,,,,,,,,,Strength Std Devs (Nm),,,,,,,,,,,,,,,,,,,,,,,Percent Capables (%),,,,,,,,,,,,,,,,,,,,,,,
Time,Task,Action,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,
0.000, Get_e1515ls_yel,Reach,0.000,0.000,-0.000,-0.000,-0.000,-0.000,175.000,175.000,10.054,10.054,5.918,5.918,83.990,83.990,90.000,0.000,0.000,175.908,176.222,170.003,170.003,82.940,82.041,0.024,0.024,-0.009,-0.009,0.000,0.000,-0.110,-0.110,-1.939,-1.939,0.159,0.159,-0.029,-0.029,-4.769,-0.028,0.000,-3.594,-3.486,3.230,2.845,-18.611,-18.052,7.595,8.166,10.230,11.000,13.580,14.340,65.279,60.709,80.830,75.172,82.121,76.372,19.497,18.132,225.580,152.554,85.602,195.955,195.973,117.676,117.676,149.297,150.648,2.430,2.613,3.274,3.520,4.617,4.876,16.040,14.917,19.891,18.499,23.986,22.307,4.416,4.107,71.075,32.990,22.901,78.670,78.677,41.183,41.183,49.371,49.818,99.908,99.908,99.910,99.910,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.905,100.000,100.000,99.275,99.278,99.727,99.734,99.593,99.610,
0.033, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,175.000,175.000,10.054,10.054,5.918,5.918,83.990,83.990,90.000,0.000,0.000,175.908,176.222,170.003,170.002,82.940,82.040,0.024,0.024,-0.009,-0.009,0.000,0.000,-0.110,-0.110,-1.939,-1.939,0.159,0.159,-0.029,-0.029,-4.769,-0.028,0.000,-3.594,-3.486,3.230,2.845,-18.611,-18.052,7.595,8.166,10.230,11.000,13.580,14.340,65.279,60.709,80.830,75.172,82.121,76.372,19.497,18.132,225.580,152.554,85.602,195.955,195.973,117.676,117.676,149.297,150.648,2.430,2.613,3.274,3.520,4.617,4.876,16.040,14.917,19.891,18.499,23.986,22.307,4.416,4.107,71.075,32.990,22.901,78.670,78.677,41.183,41.183,49.371,49.818,99.908,99.908,99.910,99.910,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.905,100.000,100.000,99.275,99.278,99.727,99.734,99.593,99.610,
0.067, ,,0.048,0.200,-0.008,0.158,0.070,-0.113,174.758,174.780,10.049,10.068,6.817,6.131,83.335,83.865,90.000,0.000,0.000,175.898,176.211,169.974,169.972,82.923,82.023,0.024,0.024,-0.010,-0.010,0.000,0.000,-0.123,-0.119,-1.931,-1.939,0.153,0.153,-0.030,-0.030,-4.839,-0.035,0.000,-3.630,-3.520,3.219,2.837,-18.673,-18.106,7.594,8.166,10.230,10.999,13.578,14.344,65.345,60.764,80.864,75.153,82.224,76.392,19.813,18.196,225.604,152.554,85.602,195.954,195.972,117.742,117.745,149.323,150.674,2.430,2.613,3.274,3.520,4.616,4.877,16.057,14.931,19.900,18.494,24.017,22.313,4.487,4.121,71.082,32.990,22.901,78.670,78.677,41.206,41.207,49.380,49.827,99.908,99.908,99.910,99.910,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.905,100.000,100.000,99.274,99.277,99.727,99.735,99.592,99.609,
0.100, ,,0.190,0.787,-0.031,0.622,0.277,-0.443,174.050,174.135,10.047,10.108,9.459,6.751,81.409,83.502,90.000,0.000,0.000,175.868,176.179,169.890,169.884,82.874,81.973,0.024,0.026,-0.012,-0.011,0.000,0.001,-0.163,-0.147,-1.911,-1.941,0.136,0.136,-0.035,-0.035,-5.044,-0.057,0.000,-3.735,-3.618,3.189,2.813,-18.853,-18.262,7.594,8.164,10.230,10.994,13.572,14.354,65.538,60.923,80.962,75.096,82.526,76.449,20.741,18.383,225.674,152.554,85.602,195.952,195.970,117.932,117.945,149.396,150.749,2.430,2.612,3.274,3.518,4.614,4.880,16.104,14.970,19.924,18.480,24.105,22.330,4.698,4.163,71.104,32.990,22.901,78.669,78.676,41.273,41.277,49.404,49.852,99.908,99.908,99.910,99.910,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.904,100.000,100.000,99.272,99.275,99.728,99.735,99.588,99.606,
0.133, ,,0.421,1.741,-0.069,1.375,0.613,-0.980,172.898,173.087,10.078,10.177,13.744,7.749,78.289,82.923,90.000,0.000,0.000,175.819,176.126,169.755,169.743,82.796,81.893,0.025,0.028,-0.015,-0.013,0.001,0.001,-0.228,-0.191,-1.886,-1.944,0.104,0.108,-0.043,-0.043,-5.376,-0.095,0.000,-3.906,-3.778,3.139,2.774,-19.141,-18.513,7.593,8.161,10.231,10.985,13.561,14.371,65.844,61.180,81.116,75.002,83.006,76.539,22.245,18.681,225.787,152.553,85.602,195.950,195.967,118.238,118.266,149.513,150.870,2.430,2.611,3.274,3.515,4.611,4.886,16.179,15.033,19.962,18.457,24.245,22.356,5.038,4.231,71.140,32.990,22.901,78.668,78.675,41.380,41.390,49.443,49.891,99.908,99.907,99.909,99.910,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.902,100.000,100.000,99.267,99.271,99.729,99.736,99.581,99.600,
0.167, ,,0.736,3.043,-0.120,2.403,1.071,-1.713,171.327,171.657,10.192,10.277,19.517,9.086,74.109,82.155,90.000,0.000,0.000,175.753,176.055,169.574,169.553,82.692,81.787,0.020,0.032,-0.028,-0.016,0.003,0.001,-0.317,-0.261,-1.872,-1.944,0.056,0.061,-0.052,-0.055,-5.838,-0.149,0.001,-4.144,-4.000,3.067,2.718,-19.528,-18.850,7.593,8.155,10.231,10.968,13.548,14.394,66.249,61.523,81.314,74.872,83.636,76.659,24.267,19.080,225.942,152.553,85.602,195.946,195.963,118.647,118.694,149.669,151.029,2.430,2.610,3.274,3.510,4.606,4.894,16.279,15.118,20.010,18.425,24.429,22.391,5.496,4.321,71.189,32.990,22.901,78.666,78.673,41.523,41.540,49.494,49.944,99.908,99.907,99.908,99.909,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.900,100.000,100.000,99.261,99.265,99.730,99.737,99.572,99.593,
0.200, ,,1.129,4.672,-0.184,3.689,1.644,-2.630,169.361,169.867,10.445,10.411,26.522,10.720,69.106,81.235,90.000,0.001,0.000,175.599,175.889,169.352,169.321,82.638,81.735,0.021,0.032,-0.035,-0.029,0.004,0.004,-0.437,-0.337,-1.880,-1.953,-0.022,0.012,-0.066,-0.069,-6.411,-0.240,0.001,-4.435,-4.280,3.128,2.823,-19.597,-18.911,7.591,8.146,10.231,10.941,13.530,14.422,66.733,61.944,81.527,74.704,112.320,76.803,26.707,19.564,226.302,152.553,85.602,195.938,195.954,119.147,119.217,149.749,151.106,2.429,2.607,3.274,3.501,4.600,4.903,16.398,15.221,20.063,18.384,30.645,22.433,6.049,4.431,71.302,32.990,22.901,78.663,78.669,41.698,41.722,49.521,49.969,99.908,99.907,99.907,99.908,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.897,100.000,100.000,99.253,99.258,99.730,99.736,99.570,99.591,
0.233, ,,1.598,6.608,-0.260,5.218,2.326,-3.720,167.023,167.739,10.895,10.585,34.380,12.603,63.639,80.202,90.000,0.001,0.000,175.476,175.758,169.093,169.050,82.519,81.614,0.022,0.038,-0.042,-0.034,0.004,0.004,-0.569,-0.427,-1.935,-1.966,-0.112,-0.047,-0.080,-0.085,-7.078,-0.357,0.002,-4.776,-4.603,3.078,2.804,-19.995,-19.267,7.590,8.133,10.232,10.900,13.509,14.455,67.278,62.430,81.718,74.497,112.507,103.555,29.415,20.117,226.584,152.552,85.602,195.931,195.946,119.725,119.820,149.929,151.288,2.429,2.603,3.274,3.488,4.593,4.915,16.532,15.340,20.110,18.333,30.696,28.253,6.662,4.556,71.391,32.990,22.901,78.660,78.667,41.900,41.933,49.580,50.030,99.908,99.906,99.907,99.908,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.894,100.000,100.000,99.244,99.249,99.731,99.736,99.560,99.583,
0.267, ,,2.135,8.833,-0.348,6.975,3.109,-4.972,164.339,165.295,11.586,10.801,42.629,14.682,58.150,79.098,90.000,0.001,0.000,175.339,175.610,168.804,168.748,82.386,81.481,0.023,0.046,-0.051,-0.040,0.005,0.005,-0.718,-0.529,-2.047,-1.984,-0.222,-0.116,-0.095,-0.104,-7.835,-0.512,0.003,-5.163,-4.970,3.016,2.783,-20.434,-19.669,7.588,8.114,10.232,10.841,13.484,14.492,67.865,62.971,81.839,74.250,112.636,103.458,32.209,20.721,226.905,152.552,85.602,195.924,195.938,120.366,120.490,150.129,151.489,2.428,2.597,3.274,3.469,4.585,4.927,16.676,15.473,20.140,18.272,30.731,28.227,7.295,4.693,71.492,32.990,22.901,78.658,78.663,42.125,42.168,49.646,50.096,99.908,99.905,99.906,99.907,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.890,100.000,100.000,99.234,99.239,99.732,99.737,99.550,99.574,
0.300, ,,2.738,11.325,-0.446,8.942,3.986,-6.375,161.330,162.557,12.545,11.064,50.823,16.903,53.067,77.972,90.000,0.002,0.000,175.190,175.451,168.489,168.419,82.241,81.335,0.024,0.054,-0.060,-0.047,0.006,0.007,-0.882,-0.643,-2.221,-2.008,-0.350,-0.194,-0.113,-0.125,-8.670,-0.711,0.004,-5.588,-5.377,2.942,2.753,-20.912,-20.121,7.585,8.089,10.233,10.759,13.457,14.532,68.478,63.553,81.847,73.961,112.674,103.338,34.912,21.356,227.250,152.551,85.602,195.917,195.930,121.060,121.213,150.346,151.708,2.427,2.588,3.275,3.443,4.575,4.941,16.826,15.616,20.142,18.201,30.741,28.194,7.907,4.837,71.601,32.989,22.901,78.655,78.660,42.367,42.421,49.718,50.169,99.908,99.904,99.905,99.907,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.886,100.000,100.000,99.223,99.228,99.734,99.738,99.538,99.563,
